product_variant_id,product_id,sku,barcode_ean,sale_price,cost_price,weight_kg,icms_rate,ipi_rate,is_active_variant,product_name,description,brand_id,category_id,ncm_code,unit_of_measure,is_active_product,category_name,slug,parent_category_id,is_active_category,brand_name,country,is_active_brand
17,7,LHN-220347,6435258488210.0,1238.93,669.69,32.115,12.0,10.0,True,Cabo Náutico 4894,Cabo de polipropileno trançado,8,6,58571428,M,True,Velas,velas,3.0,True,Simrad,,True
18,7,LHN-510202,8300539548960.0,973.54,546.93,18.521,12.0,10.0,True,Cabo Náutico 4894,Cabo de polipropileno trançado,8,6,58571428,M,True,Velas,velas,3.0,True,Simrad,,True
19,8,LHN-457547,2337953164113.0,1517.55,1039.42,1.815,18.0,10.0,True,Cabo Náutico 1373,Cabo de polipropileno trançado,4,14,13000107,M,True,Pesca,pesca,1.0,True,Honda Marine,,True
20,9,LHN-016677,5880759743299.0,2315.5,1642.2,23.955,12.0,0.0,True,Tinta Antifouling 874,Tinta antiincrustante 3.6L para casco,7,5,59463492,L,True,Eletrônica Náutica,eletronica-nautica,2.0,True,Lowrance,IT,True
21,9,LHN-444755,7645809984262.0,798.36,364.55,32.244,18.0,10.0,True,Tinta Antifouling 874,Tinta antiincrustante 3.6L para casco,7,5,59463492,L,True,Eletrônica Náutica,eletronica-nautica,2.0,True,Lowrance,IT,True
22,9,LHN-256375,5981477681020.0,1541.6,752.0,18.481,18.0,0.0,True,Tinta Antifouling 874,Tinta antiincrustante 3.6L para casco,7,5,59463492,L,True,Eletrônica Náutica,eletronica-nautica,2.0,True,Lowrance,IT,True
23,10,LHN-235717,1516517327237.0,1629.17,790.86,10.308,18.0,10.0,True,Colete Salva-Vidas 6199,Colete homologado classe III,9,14,52862023,UN,True,Pesca,pesca,1.0,True,Volvo Penta,JP,True
24,11,LHN-162345,,2659.65,1555.35,11.337,12.0,10.0,True,Hélice de Alumínio 4091,Hélice 3 pás para motor de popa,1,5,82685264,UN,True,Eletrônica Náutica,eletronica-nautica,2.0,True,Yamaha Marine,,True
25,11,LHN-415543,662631499525.0,516.75,335.55,21.786,17.0,5.0,True,Hélice de Alumínio 4091,Hélice 3 pás para motor de popa,1,5,82685264,UN,True,Eletrônica Náutica,eletronica-nautica,2.0,True,Yamaha Marine,,True
26,12,LHN-533184,,1726.63,1072.44,32.772,17.0,5.0,True,Cabo Náutico 8028,Cabo de polipropileno trançado,12,14,20936775,M,True,Pesca,pesca,1.0,True,Marisul,BR,True
27,13,LHN-811383,4026653408921.0,2928.08,1673.19,42.21,12.0,5.0,True,GPS Plotter 7021,GPS chartplotter com cartografia,4,4,70125519,UN,True,Motores,motores,3.0,True,Honda Marine,,True
28,14,LHN-224847,6371127117471.0,1614.87,961.23,9.626,18.0,0.0,True,Defensa Náutica 1161,Defensa cilíndrica em PVC,8,12,36860079,PC,True,Manutenção,manutencao,1.0,True,Simrad,,True
29,14,LHN-010981,6853279803629.0,3180.67,1445.76,24.48,12.0,5.0,True,Defensa Náutica 1161,Defensa cilíndrica em PVC,8,12,36860079,PC,True,Manutenção,manutencao,1.0,True,Simrad,,True
30,15,LHN-501122,3705987438361.0,1029.86,710.25,40.632,18.0,5.0,True,Bússola de Bordo 6287,Bússola magnética líquida com iluminação,1,9,86734561,UN,True,Acessórios de Convés,acessorios-de-conves,2.0,True,Yamaha Marine,,True
31,16,LHN-355112,8951756446913.0,496.5,234.2,17.961,17.0,10.0,True,Hélice de Alumínio 8340,Hélice 3 pás para motor de popa,3,1,37075384,UN,True,Equipamentos,equipamentos,,True,Suzuki Marine,DE,True
32,16,LHN-893936,1041466784072.0,939.09,661.33,34.611,18.0,5.0,True,Hélice de Alumínio 8340,Hélice 3 pás para motor de popa,3,1,37075384,UN,True,Equipamentos,equipamentos,,True,Suzuki Marine,DE,True
33,16,LHN-302669,6859209682036.0,537.27,331.65,29.174,17.0,10.0,True,Hélice de Alumínio 8340,Hélice 3 pás para motor de popa,3,1,37075384,UN,True,Equipamentos,equipamentos,,True,Suzuki Marine,DE,True
34,17,LHN-968395,6617333843279.0,3058.37,1609.67,28.172,18.0,10.0,True,GPS Plotter 3436,GPS chartplotter com cartografia,8,9,24614829,UN,True,Acessórios de Convés,acessorios-de-conves,2.0,True,Simrad,,True
35,17,LHN-702543,5806790112108.0,1255.65,848.41,33.802,18.0,5.0,True,GPS Plotter 3436,GPS chartplotter com cartografia,8,9,24614829,UN,True,Acessórios de Convés,acessorios-de-conves,2.0,True,Simrad,,True
36,18,LHN-505195,1634077732930.0,2563.85,1401.01,6.639,17.0,0.0,True,Âncora Bruce 7120,Âncora de garra tipo Bruce em aço galvanizado,5,4,30173313,UN,True,Motores,motores,3.0,True,Garmin,,True
37,19,LHN-964357,673451970170.0,117.93,79.15,17.175,18.0,0.0,True,Âncora Bruce 4405,Âncora de garra tipo Bruce em aço galvanizado,6,14,43098343,UN,True,Pesca,pesca,1.0,True,Raymarine,,True
38,19,LHN-215053,957913209122.0,2178.52,1492.14,15.677,18.0,10.0,True,Âncora Bruce 4405,Âncora de garra tipo Bruce em aço galvanizado,6,14,43098343,UN,True,Pesca,pesca,1.0,True,Raymarine,,True
39,20,LHN-333265,1855492472243.0,3046.9,1620.69,28.339,12.0,10.0,True,GPS Plotter 7169,GPS chartplotter com cartografia,7,6,71298225,UN,True,Velas,velas,3.0,True,Lowrance,IT,True
40,20,LHN-533548,,1813.06,851.2,6.063,12.0,5.0,True,GPS Plotter 7169,GPS chartplotter com cartografia,7,6,71298225,UN,True,Velas,velas,3.0,True,Lowrance,IT,True
41,21,LHN-261123,,2069.89,1045.4,21.885,12.0,5.0,True,Âncora Bruce 6850,Âncora de garra tipo Bruce em aço galvanizado,2,12,60395870,UN,True,Manutenção,manutencao,1.0,True,Mercury Marine,BR,True
42,21,LHN-907998,,1847.0,1020.44,21.883,17.0,0.0,True,Âncora Bruce 6850,Âncora de garra tipo Bruce em aço galvanizado,2,12,60395870,UN,True,Manutenção,manutencao,1.0,True,Mercury Marine,BR,True
43,22,LHN-937442,30772416334.0,1032.64,573.69,2.069,18.0,5.0,True,Vela Mestra 7039,Vela mestra em dacron para veleiros 32 pés,5,9,64388226,UN,True,Acessórios de Convés,acessorios-de-conves,2.0,True,Garmin,,True
44,22,LHN-119653,3349461777203.0,143.69,106.44,1.457,12.0,0.0,True,Vela Mestra 7039,Vela mestra em dacron para veleiros 32 pés,5,9,64388226,UN,True,Acessórios de Convés,acessorios-de-conves,2.0,True,Garmin,,True
45,23,LHN-920996,3369546530134.0,2765.04,1843.36,25.234,17.0,10.0,True,Âncora Bruce 4975,Âncora de garra tipo Bruce em aço galvanizado,5,2,95095446,UN,True,Cabos,cabos,,True,Garmin,,True
46,23,LHN-504176,8689081382865.0,764.4,408.77,12.055,12.0,0.0,True,Âncora Bruce 4975,Âncora de garra tipo Bruce em aço galvanizado,5,2,95095446,UN,True,Cabos,cabos,,True,Garmin,,True
47,24,LHN-424788,,3896.09,1882.17,12.657,12.0,0.0,True,Colete Salva-Vidas 3398,Colete homologado classe III,10,5,64834488,UN,True,Eletrônica Náutica,eletronica-nautica,2.0,True,MaxSea,JP,True
48,24,LHN-868199,,1605.18,768.03,8.81,12.0,10.0,True,Colete Salva-Vidas 3398,Colete homologado classe III,10,5,64834488,UN,True,Eletrônica Náutica,eletronica-nautica,2.0,True,MaxSea,JP,True
49,25,LHN-763314,4013445751730.0,2845.64,1429.97,38.923,17.0,5.0,True,Bússola de Bordo 799,Bússola magnética líquida com iluminação,4,7,60029856,UN,True,Âncoras,ncoras,1.0,True,Honda Marine,,True
50,26,LHN-520276,7606234583024.0,547.88,320.4,28.501,12.0,0.0,True,Bússola de Bordo 3795,Bússola magnética líquida com iluminação,6,12,52325309,UN,True,Manutenção,manutencao,1.0,True,Raymarine,,True
51,26,LHN-424258,7817584625160.0,1113.93,520.53,15.212,17.0,5.0,True,Bússola de Bordo 3795,Bússola magnética líquida com iluminação,6,12,52325309,UN,True,Manutenção,manutencao,1.0,True,Raymarine,,True
52,27,LHN-781949,,585.8,334.74,41.264,17.0,10.0,True,Colete Salva-Vidas 7001,Colete homologado classe III,3,6,81669019,UN,True,Velas,velas,3.0,True,Suzuki Marine,DE,True
53,27,LHN-551848,5190815153000.0,1628.81,1064.58,4.334,12.0,10.0,True,Colete Salva-Vidas 7001,Colete homologado classe III,3,6,81669019,UN,True,Velas,velas,3.0,True,Suzuki Marine,DE,True
54,28,LHN-011955,,2767.51,1677.28,16.339,17.0,5.0,False,Colete Salva-Vidas 1890,Colete homologado classe III,12,3,51088849,UN,True,Coletes Salva-Vidas,coletes-salva-vidas,,True,Marisul,BR,True
55,28,LHN-616600,3492417032670.0,2780.63,1324.11,34.635,18.0,5.0,True,Colete Salva-Vidas 1890,Colete homologado classe III,12,3,51088849,UN,True,Coletes Salva-Vidas,coletes-salva-vidas,,True,Marisul,BR,True
56,29,LHN-116117,7543537908935.0,1923.39,1457.11,29.745,12.0,5.0,True,Defensa Náutica 3153,Defensa cilíndrica em PVC,6,10,21302420,PC,True,Iluminação,iluminacao,1.0,True,Raymarine,,True
57,29,LHN-639263,2470658924054.0,3035.13,1487.81,33.038,12.0,10.0,True,Defensa Náutica 3153,Defensa cilíndrica em PVC,6,10,21302420,PC,True,Iluminação,iluminacao,1.0,True,Raymarine,,True
58,29,LHN-163046,,717.98,498.6,21.821,17.0,5.0,True,Defensa Náutica 3153,Defensa cilíndrica em PVC,6,10,21302420,PC,True,Iluminação,iluminacao,1.0,True,Raymarine,,True
59,30,LHN-542984,3882632802415.0,3516.91,1651.13,21.232,18.0,0.0,False,Colete Salva-Vidas 8612,Colete homologado classe III,2,10,52979348,UN,True,Iluminação,iluminacao,1.0,True,Mercury Marine,BR,True
60,31,LHN-951367,1851920550774.0,1466.35,971.09,32.375,12.0,5.0,True,Sonar Transducer 4635,Transdutor de sonar para profundidade,3,4,81807314,UN,True,Motores,motores,3.0,True,Suzuki Marine,DE,True
61,31,LHN-032019,753417869905.0,3122.72,1452.43,16.267,18.0,5.0,True,Sonar Transducer 4635,Transdutor de sonar para profundidade,3,4,81807314,UN,True,Motores,motores,3.0,True,Suzuki Marine,DE,True
62,32,LHN-174522,7774799407687.0,2219.2,1219.34,11.147,17.0,0.0,True,Defensa Náutica 793,Defensa cilíndrica em PVC,9,6,29488584,PC,True,Velas,velas,3.0,True,Volvo Penta,JP,True
63,32,LHN-146807,7850785310374.0,1025.37,648.97,42.23,12.0,0.0,True,Defensa Náutica 793,Defensa cilíndrica em PVC,9,6,29488584,PC,True,Velas,velas,3.0,True,Volvo Penta,JP,True
64,33,LHN-868728,4227524869562.0,2665.92,1655.85,12.872,17.0,10.0,True,Hélice de Alumínio 7117,Hélice 3 pás para motor de popa,11,5,13391884,UN,True,Eletrônica Náutica,eletronica-nautica,2.0,True,BR Náutica,IT,True
65,33,LHN-918092,5033416339575.0,1609.83,963.97,33.169,17.0,10.0,True,Hélice de Alumínio 7117,Hélice 3 pás para motor de popa,11,5,13391884,UN,True,Eletrônica Náutica,eletronica-nautica,2.0,True,BR Náutica,IT,True
66,34,LHN-698603,4567925868949.0,1541.68,820.04,41.001,17.0,10.0,True,Defensa Náutica 5959,Defensa cilíndrica em PVC,7,14,52963458,PC,True,Pesca,pesca,1.0,True,Lowrance,IT,True
67,35,LHN-270917,3950332260009.0,2159.89,1213.42,37.606,18.0,10.0,True,Colete Salva-Vidas 8211,Colete homologado classe III,2,1,67937611,UN,True,Equipamentos,equipamentos,,True,Mercury Marine,BR,True
68,35,LHN-133378,7289651757966.0,381.63,231.29,19.23,18.0,10.0,True,Colete Salva-Vidas 8211,Colete homologado classe III,2,1,67937611,UN,True,Equipamentos,equipamentos,,True,Mercury Marine,BR,True
69,36,LHN-585213,3300607642120.0,301.17,152.88,33.419,18.0,10.0,True,GPS Plotter 8951,,11,11,34113573,UN,True,Pintura Marítima,pintura-maritima,1.0,True,BR Náutica,IT,True
70,36,LHN-373626,758369952156.0,118.69,64.86,22.214,17.0,0.0,True,GPS Plotter 8951,,11,11,34113573,UN,True,Pintura Marítima,pintura-maritima,1.0,True,BR Náutica,IT,True
71,37,LHN-047570,2416565271423.0,1571.43,814.21,49.366,17.0,10.0,True,Âncora Bruce 3597,Âncora de garra tipo Bruce em aço galvanizado,11,13,71673210,UN,True,SEGURANÇA,seguranca,2.0,True,BR Náutica,IT,True
72,37,LHN-561314,8581783250339.0,3194.59,1506.88,45.135,12.0,5.0,True,Âncora Bruce 3597,Âncora de garra tipo Bruce em aço galvanizado,11,13,71673210,UN,True,SEGURANÇA,seguranca,2.0,True,BR Náutica,IT,True
73,37,LHN-611667,7964377969335.0,755.45,381.54,14.38,12.0,5.0,True,Âncora Bruce 3597,Âncora de garra tipo Bruce em aço galvanizado,11,13,71673210,UN,True,SEGURANÇA,seguranca,2.0,True,BR Náutica,IT,True
74,38,LHN-448251,5369106807087.0,1603.57,1187.83,46.403,17.0,10.0,True,Sonar Transducer 7290,Transdutor de sonar para profundidade,5,6,77592988,UN,True,Velas,velas,3.0,True,Garmin,,True
75,39,LHN-305383,,212.31,118.61,29.974,18.0,10.0,True,Bateria Náutica 3427,Bateria estacionária 105Ah náutica,7,7,35734374,UN,True,Âncoras,ncoras,1.0,True,Lowrance,IT,True
76,39,LHN-197081,563060099990.0,1096.27,559.32,8.869,18.0,5.0,True,Bateria Náutica 3427,Bateria estacionária 105Ah náutica,7,7,35734374,UN,True,Âncoras,ncoras,1.0,True,Lowrance,IT,True
77,40,LHN-847740,2258682926981.0,1516.0,725.36,42.18,17.0,5.0,True,Tinta Antifouling 4321,Tinta antiincrustante 3.6L para casco,4,11,85345895,L,True,Pintura Marítima,pintura-maritima,1.0,True,Honda Marine,,True
78,40,LHN-812993,,3365.4,1743.73,11.304,18.0,10.0,True,Tinta Antifouling 4321,Tinta antiincrustante 3.6L para casco,4,11,85345895,L,True,Pintura Marítima,pintura-maritima,1.0,True,Honda Marine,,True
79,41,LHN-377256,,983.07,484.27,1.395,12.0,10.0,True,Âncora Bruce 2416,Âncora de garra tipo Bruce em aço galvanizado,12,8,84914514,UN,True,Hélices,helices,1.0,True,Marisul,BR,True
80,41,LHN-064671,6497473321956.0,67.81,41.86,37.577,17.0,0.0,True,Âncora Bruce 2416,Âncora de garra tipo Bruce em aço galvanizado,12,8,84914514,UN,True,Hélices,helices,1.0,True,Marisul,BR,True
81,42,LHN-115023,2801590565621.0,2483.8,1188.42,24.943,17.0,0.0,True,Tinta Antifouling 503,Tinta antiincrustante 3.6L para casco,10,9,10032928,L,True,Acessórios de Convés,acessorios-de-conves,2.0,True,MaxSea,JP,True
82,43,LHN-058147,3815875768675.0,1719.63,1177.83,4.589,17.0,10.0,True,Defensa Náutica 9513,Defensa cilíndrica em PVC,10,1,86849289,PC,True,Equipamentos,equipamentos,,True,MaxSea,JP,True
83,43,LHN-794810,4448991784930.0,3897.16,1958.37,13.508,12.0,0.0,True,Defensa Náutica 9513,Defensa cilíndrica em PVC,10,1,86849289,PC,True,Equipamentos,equipamentos,,True,MaxSea,JP,True
84,43,LHN-584495,,841.59,470.16,39.293,17.0,10.0,True,Defensa Náutica 9513,Defensa cilíndrica em PVC,10,1,86849289,PC,True,Equipamentos,equipamentos,,True,MaxSea,JP,True
85,44,LHN-414825,1118744236582.0,2235.99,1542.06,17.443,18.0,0.0,True,Motor de Popa 9645,Motor de popa 4 tempos para embarcações de lazer,7,9,46650771,UN,True,Acessórios de Convés,acessorios-de-conves,2.0,True,Lowrance,IT,True
86,44,LHN-171212,3167435113495.0,3751.57,1984.96,22.089,17.0,5.0,True,Motor de Popa 9645,Motor de popa 4 tempos para embarcações de lazer,7,9,46650771,UN,True,Acessórios de Convés,acessorios-de-conves,2.0,True,Lowrance,IT,True
87,45,LHN-529896,2691660585402.0,3471.18,1896.82,3.197,18.0,0.0,True,Tinta Antifouling 3620,Tinta antiincrustante 3.6L para casco,5,8,60564651,L,True,Hélices,helices,1.0,True,Garmin,,True
88,46,LHN-010900,9266362880068.0,2590.58,1245.47,16.489,18.0,0.0,True,Defensa Náutica 5036,Defensa cilíndrica em PVC,10,10,67890393,PC,True,Iluminação,iluminacao,1.0,True,MaxSea,JP,True
89,46,LHN-604641,2792563312369.0,767.13,511.42,24.296,18.0,10.0,True,Defensa Náutica 5036,Defensa cilíndrica em PVC,10,10,67890393,PC,True,Iluminação,iluminacao,1.0,True,MaxSea,JP,True
90,47,LHN-964745,1003071918723.0,2102.11,1545.67,7.891,18.0,0.0,True,Motor de Popa 5561,Motor de popa 4 tempos para embarcações de lazer,10,7,29031648,UN,True,Âncoras,ncoras,1.0,True,MaxSea,JP,True
91,47,LHN-693667,,3732.21,1768.82,30.401,17.0,5.0,True,Motor de Popa 5561,Motor de popa 4 tempos para embarcações de lazer,10,7,29031648,UN,True,Âncoras,ncoras,1.0,True,MaxSea,JP,True
92,48,LHN-848751,,2084.19,1021.66,20.451,17.0,10.0,True,Bússola de Bordo 6684,Bússola magnética líquida com iluminação,8,4,25861491,UN,True,Motores,motores,3.0,True,Simrad,,True
93,49,LHN-380607,7176586368650.0,1972.36,1133.54,5.943,12.0,5.0,True,Bússola de Bordo 5407,Bússola magnética líquida com iluminação,3,11,95280616,UN,True,Pintura Marítima,pintura-maritima,1.0,True,Suzuki Marine,DE,True
94,49,LHN-100755,1553382975798.0,2291.44,1414.47,23.612,18.0,10.0,True,Bússola de Bordo 5407,Bússola magnética líquida com iluminação,3,11,95280616,UN,True,Pintura Marítima,pintura-maritima,1.0,True,Suzuki Marine,DE,True
95,49,LHN-528566,4789059804505.0,2928.7,1583.08,26.644,12.0,0.0,True,Bússola de Bordo 5407,Bússola magnética líquida com iluminação,3,11,95280616,UN,True,Pintura Marítima,pintura-maritima,1.0,True,Suzuki Marine,DE,True
96,50,LHN-609159,8935844921827.0,1553.87,898.19,12.68,12.0,10.0,True,Vela Mestra 1577,Vela mestra em dacron para veleiros 32 pés,1,13,93898745,UN,True,SEGURANÇA,seguranca,2.0,True,Yamaha Marine,,True
97,50,LHN-016397,1956394850501.0,3055.12,1407.89,43.058,12.0,5.0,True,Vela Mestra 1577,Vela mestra em dacron para veleiros 32 pés,1,13,93898745,UN,True,SEGURANÇA,seguranca,2.0,True,Yamaha Marine,,True
98,51,LHN-824534,7828882505689.0,2546.18,1664.17,49.357,17.0,10.0,True,Defensa Náutica 9969,Defensa cilíndrica em PVC,11,8,10618495,PC,True,Hélices,helices,1.0,True,BR Náutica,IT,True
99,52,LHN-296374,5393099120243.0,1078.27,764.73,31.636,18.0,5.0,True,Bateria Náutica 8532,Bateria estacionária 105Ah náutica,6,11,86377937,UN,True,Pintura Marítima,pintura-maritima,1.0,True,Raymarine,,True
100,53,LHN-084998,8997014725765.0,3529.0,1838.02,38.291,12.0,10.0,True,Sonar Transducer 6909,Transdutor de sonar para profundidade,11,8,50781923,UN,True,Hélices,helices,1.0,True,BR Náutica,IT,True
101,53,LHN-261552,2763816728060.0,2412.74,1619.29,4.916,18.0,0.0,True,Sonar Transducer 6909,Transdutor de sonar para profundidade,11,8,50781923,UN,True,Hélices,helices,1.0,True,BR Náutica,IT,True
102,53,LHN-821834,,380.46,233.41,2.612,12.0,10.0,True,Sonar Transducer 6909,Transdutor de sonar para profundidade,11,8,50781923,UN,True,Hélices,helices,1.0,True,BR Náutica,IT,True
103,54,LHN-734418,2855778973623.0,642.52,486.76,47.769,17.0,10.0,False,Colete Salva-Vidas 6302,Colete homologado classe III,2,2,19008486,UN,True,Cabos,cabos,,True,Mercury Marine,BR,True
104,55,LHN-947731,2921646419620.0,821.14,536.69,34.35,18.0,0.0,True,GPS Plotter 6249,GPS chartplotter com cartografia,6,7,29094966,UN,True,Âncoras,ncoras,1.0,True,Raymarine,,True
105,55,LHN-777708,2170117498903.0,2368.1,1178.16,41.79,18.0,10.0,True,GPS Plotter 6249,GPS chartplotter com cartografia,6,7,29094966,UN,True,Âncoras,ncoras,1.0,True,Raymarine,,True
106,55,LHN-297432,,1185.5,654.97,9.068,18.0,10.0,True,GPS Plotter 6249,GPS chartplotter com cartografia,6,7,29094966,UN,True,Âncoras,ncoras,1.0,True,Raymarine,,True
107,56,LHN-566787,5541403435181.0,2351.02,1433.55,22.152,12.0,0.0,True,Sonar Transducer 4571,Transdutor de sonar para profundidade,4,7,16386633,UN,True,Âncoras,ncoras,1.0,True,Honda Marine,,True
108,57,LHN-470138,,1501.07,829.32,45.951,18.0,5.0,True,Vela Mestra 6445,Vela mestra em dacron para veleiros 32 pés,11,1,68104273,UN,True,Equipamentos,equipamentos,,True,BR Náutica,IT,True
109,57,LHN-231402,1272642084185.0,824.56,425.03,16.547,12.0,0.0,True,Vela Mestra 6445,Vela mestra em dacron para veleiros 32 pés,11,1,68104273,UN,True,Equipamentos,equipamentos,,True,BR Náutica,IT,True
110,57,LHN-970128,,2749.57,1278.87,12.044,12.0,10.0,True,Vela Mestra 6445,Vela mestra em dacron para veleiros 32 pés,11,1,68104273,UN,True,Equipamentos,equipamentos,,True,BR Náutica,IT,True
111,58,LHN-668014,9878352274216.0,917.1,599.41,6.563,18.0,0.0,True,Sonar Transducer 3832,Transdutor de sonar para profundidade,9,1,20312754,UN,True,Equipamentos,equipamentos,,True,Volvo Penta,JP,True
112,58,LHN-872810,7554229265397.0,549.47,284.7,47.329,17.0,10.0,True,Sonar Transducer 3832,Transdutor de sonar para profundidade,9,1,20312754,UN,True,Equipamentos,equipamentos,,True,Volvo Penta,JP,True
113,59,LHN-173568,8880631145309.0,53.89,25.91,15.253,12.0,0.0,True,Bateria Náutica 8789,Bateria estacionária 105Ah náutica,11,3,91840820,UN,True,Coletes Salva-Vidas,coletes-salva-vidas,,True,BR Náutica,IT,True
114,59,LHN-761586,3490729448080.0,643.62,326.71,15.485,12.0,0.0,True,Bateria Náutica 8789,Bateria estacionária 105Ah náutica,11,3,91840820,UN,True,Coletes Salva-Vidas,coletes-salva-vidas,,True,BR Náutica,IT,True
115,59,LHN-027288,6763621412433.0,2459.21,1373.86,11.5,12.0,10.0,True,Bateria Náutica 8789,Bateria estacionária 105Ah náutica,11,3,91840820,UN,True,Coletes Salva-Vidas,coletes-salva-vidas,,True,BR Náutica,IT,True
116,60,LHN-475654,3516503113552.0,2748.9,1462.18,48.707,12.0,5.0,True,Vela Mestra 2410,Vela mestra em dacron para veleiros 32 pés,6,12,23510590,UN,True,Manutenção,manutencao,1.0,True,Raymarine,,True
117,61,LHN-144442,3427770987725.0,1262.96,625.23,21.238,17.0,0.0,True,Tinta Antifouling 693,Tinta antiincrustante 3.6L para casco,8,2,92156269,L,True,Cabos,cabos,,True,Simrad,,True
118,62,LHN-046155,7565750630585.0,885.32,427.69,2.266,12.0,0.0,True,Defensa Náutica 3549,Defensa cilíndrica em PVC,12,1,14655251,PC,True,Equipamentos,equipamentos,,True,Marisul,BR,True
119,62,LHN-480793,256578319116.0,1569.62,765.67,21.305,17.0,0.0,True,Defensa Náutica 3549,Defensa cilíndrica em PVC,12,1,14655251,PC,True,Equipamentos,equipamentos,,True,Marisul,BR,True
120,62,LHN-592076,4954494942109.0,1677.29,864.58,10.082,18.0,5.0,True,Defensa Náutica 3549,Defensa cilíndrica em PVC,12,1,14655251,PC,True,Equipamentos,equipamentos,,True,Marisul,BR,True
121,63,LHN-012465,1618877129374.0,2225.11,1578.09,45.189,12.0,10.0,True,Colete Salva-Vidas 4753,Colete homologado classe III,1,11,90000712,UN,True,Pintura Marítima,pintura-maritima,1.0,True,Yamaha Marine,,True
122,63,LHN-958088,4975128224132.0,887.99,460.1,4.536,18.0,5.0,True,Colete Salva-Vidas 4753,Colete homologado classe III,1,11,90000712,UN,True,Pintura Marítima,pintura-maritima,1.0,True,Yamaha Marine,,True
