date,date_key,year,day_of_year,day_of_month,iso_day_of_week,day_name_pt,week_of_year,month,year_month,month_name,quarter,quarter_name,semester,trimestre,is_weekend
2020-02-27,20200227,2020,58,27,4,quinta-feira,9,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-28,20200228,2020,59,28,5,sexta-feira,9,2,2020-02,Fevereiro,1,Q1,1,T1,False
2020-02-29,20200229,2020,60,29,6,sábado,9,2,2020-02,Fevereiro,1,Q1,1,T1,True
2020-03-01,20200301,2020,61,1,7,domingo,9,3,2020-03,Março,1,Q1,1,T1,True
2020-03-02,20200302,2020,62,2,1,segunda-feira,10,3,2020-03,Março,1,Q1,1,T1,False
2020-03-03,20200303,2020,63,3,2,terça-feira,10,3,2020-03,Março,1,Q1,1,T1,False
2020-03-04,20200304,2020,64,4,3,quarta-feira,10,3,2020-03,Março,1,Q1,1,T1,False
2020-03-05,20200305,2020,65,5,4,quinta-feira,10,3,2020-03,Março,1,Q1,1,T1,False
2020-03-06,20200306,2020,66,6,5,sexta-feira,10,3,2020-03,Março,1,Q1,1,T1,False
2020-03-07,20200307,2020,67,7,6,sábado,10,3,2020-03,Março,1,Q1,1,T1,True
2020-03-08,20200308,2020,68,8,7,domingo,10,3,2020-03,Março,1,Q1,1,T1,True
2020-03-09,20200309,2020,69,9,1,segunda-feira,11,3,2020-03,Março,1,Q1,1,T1,False
2020-03-10,20200310,2020,70,10,2,terça-feira,11,3,2020-03,Março,1,Q1,1,T1,False
2020-03-11,20200311,2020,71,11,3,quarta-feira,11,3,2020-03,Março,1,Q1,1,T1,False
2020-03-12,20200312,2020,72,12,4,quinta-feira,11,3,2020-03,Março,1,Q1,1,T1,False
2020-03-13,20200313,2020,73,13,5,sexta-feira,11,3,2020-03,Março,1,Q1,1,T1,False
2020-03-14,20200314,2020,74,14,6,sábado,11,3,2020-03,Março,1,Q1,1,T1,True
2020-03-15,20200315,2020,75,15,7,domingo,11,3,2020-03,Março,1,Q1,1,T1,True
2020-03-16,20200316,2020,76,16,1,segunda-feira,12,3,2020-03,Março,1,Q1,1,T1,False
2020-03-17,20200317,2020,77,17,2,terça-feira,12,3,2020-03,Março,1,Q1,1,T1,False
2020-03-18,20200318,2020,78,18,3,quarta-feira,12,3,2020-03,Março,1,Q1,1,T1,False
2020-03-19,20200319,2020,79,19,4,quinta-feira,12,3,2020-03,Março,1,Q1,1,T1,False
2020-03-20,20200320,2020,80,20,5,sexta-feira,12,3,2020-03,Março,1,Q1,1,T1,False
2020-03-21,20200321,2020,81,21,6,sábado,12,3,2020-03,Março,1,Q1,1,T1,True
2020-03-22,20200322,2020,82,22,7,domingo,12,3,2020-03,Março,1,Q1,1,T1,True
2020-03-23,20200323,2020,83,23,1,segunda-feira,13,3,2020-03,Março,1,Q1,1,T1,False
2020-03-24,20200324,2020,84,24,2,terça-feira,13,3,2020-03,Março,1,Q1,1,T1,False
2020-03-25,20200325,2020,85,25,3,quarta-feira,13,3,2020-03,Março,1,Q1,1,T1,False
2020-03-26,20200326,2020,86,26,4,quinta-feira,13,3,2020-03,Março,1,Q1,1,T1,False
2020-03-27,20200327,2020,87,27,5,sexta-feira,13,3,2020-03,Março,1,Q1,1,T1,False
2020-03-28,20200328,2020,88,28,6,sábado,13,3,2020-03,Março,1,Q1,1,T1,True
2020-03-29,20200329,2020,89,29,7,domingo,13,3,2020-03,Março,1,Q1,1,T1,True
2020-03-30,20200330,2020,90,30,1,segunda-feira,14,3,2020-03,Março,1,Q1,1,T1,False
2020-03-31,20200331,2020,91,31,2,terça-feira,14,3,2020-03,Março,1,Q1,1,T1,False
2020-04-01,20200401,2020,92,1,3,quarta-feira,14,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-02,20200402,2020,93,2,4,quinta-feira,14,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-03,20200403,2020,94,3,5,sexta-feira,14,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-04,20200404,2020,95,4,6,sábado,14,4,2020-04,Abril,2,Q2,1,T2,True
2020-04-05,20200405,2020,96,5,7,domingo,14,4,2020-04,Abril,2,Q2,1,T2,True
2020-04-06,20200406,2020,97,6,1,segunda-feira,15,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-07,20200407,2020,98,7,2,terça-feira,15,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-08,20200408,2020,99,8,3,quarta-feira,15,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-09,20200409,2020,100,9,4,quinta-feira,15,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-10,20200410,2020,101,10,5,sexta-feira,15,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-11,20200411,2020,102,11,6,sábado,15,4,2020-04,Abril,2,Q2,1,T2,True
2020-04-12,20200412,2020,103,12,7,domingo,15,4,2020-04,Abril,2,Q2,1,T2,True
2020-04-13,20200413,2020,104,13,1,segunda-feira,16,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-14,20200414,2020,105,14,2,terça-feira,16,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-15,20200415,2020,106,15,3,quarta-feira,16,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-16,20200416,2020,107,16,4,quinta-feira,16,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-17,20200417,2020,108,17,5,sexta-feira,16,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-18,20200418,2020,109,18,6,sábado,16,4,2020-04,Abril,2,Q2,1,T2,True
2020-04-19,20200419,2020,110,19,7,domingo,16,4,2020-04,Abril,2,Q2,1,T2,True
2020-04-20,20200420,2020,111,20,1,segunda-feira,17,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-21,20200421,2020,112,21,2,terça-feira,17,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-22,20200422,2020,113,22,3,quarta-feira,17,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-23,20200423,2020,114,23,4,quinta-feira,17,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-24,20200424,2020,115,24,5,sexta-feira,17,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-25,20200425,2020,116,25,6,sábado,17,4,2020-04,Abril,2,Q2,1,T2,True
2020-04-26,20200426,2020,117,26,7,domingo,17,4,2020-04,Abril,2,Q2,1,T2,True
2020-04-27,20200427,2020,118,27,1,segunda-feira,18,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-28,20200428,2020,119,28,2,terça-feira,18,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-29,20200429,2020,120,29,3,quarta-feira,18,4,2020-04,Abril,2,Q2,1,T2,False
2020-04-30,20200430,2020,121,30,4,quinta-feira,18,4,2020-04,Abril,2,Q2,1,T2,False
2020-05-01,20200501,2020,122,1,5,sexta-feira,18,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-02,20200502,2020,123,2,6,sábado,18,5,2020-05,Maio,2,Q2,1,T2,True
2020-05-03,20200503,2020,124,3,7,domingo,18,5,2020-05,Maio,2,Q2,1,T2,True
2020-05-04,20200504,2020,125,4,1,segunda-feira,19,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-05,20200505,2020,126,5,2,terça-feira,19,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-06,20200506,2020,127,6,3,quarta-feira,19,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-07,20200507,2020,128,7,4,quinta-feira,19,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-08,20200508,2020,129,8,5,sexta-feira,19,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-09,20200509,2020,130,9,6,sábado,19,5,2020-05,Maio,2,Q2,1,T2,True
2020-05-10,20200510,2020,131,10,7,domingo,19,5,2020-05,Maio,2,Q2,1,T2,True
2020-05-11,20200511,2020,132,11,1,segunda-feira,20,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-12,20200512,2020,133,12,2,terça-feira,20,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-13,20200513,2020,134,13,3,quarta-feira,20,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-14,20200514,2020,135,14,4,quinta-feira,20,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-15,20200515,2020,136,15,5,sexta-feira,20,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-16,20200516,2020,137,16,6,sábado,20,5,2020-05,Maio,2,Q2,1,T2,True
2020-05-17,20200517,2020,138,17,7,domingo,20,5,2020-05,Maio,2,Q2,1,T2,True
2020-05-18,20200518,2020,139,18,1,segunda-feira,21,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-19,20200519,2020,140,19,2,terça-feira,21,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-20,20200520,2020,141,20,3,quarta-feira,21,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-21,20200521,2020,142,21,4,quinta-feira,21,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-22,20200522,2020,143,22,5,sexta-feira,21,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-23,20200523,2020,144,23,6,sábado,21,5,2020-05,Maio,2,Q2,1,T2,True
2020-05-24,20200524,2020,145,24,7,domingo,21,5,2020-05,Maio,2,Q2,1,T2,True
2020-05-25,20200525,2020,146,25,1,segunda-feira,22,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-26,20200526,2020,147,26,2,terça-feira,22,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-27,20200527,2020,148,27,3,quarta-feira,22,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-28,20200528,2020,149,28,4,quinta-feira,22,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-29,20200529,2020,150,29,5,sexta-feira,22,5,2020-05,Maio,2,Q2,1,T2,False
2020-05-30,20200530,2020,151,30,6,sábado,22,5,2020-05,Maio,2,Q2,1,T2,True
2020-05-31,20200531,2020,152,31,7,domingo,22,5,2020-05,Maio,2,Q2,1,T2,True
2020-06-01,20200601,2020,153,1,1,segunda-feira,23,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-02,20200602,2020,154,2,2,terça-feira,23,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-03,20200603,2020,155,3,3,quarta-feira,23,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-04,20200604,2020,156,4,4,quinta-feira,23,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-05,20200605,2020,157,5,5,sexta-feira,23,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-06,20200606,2020,158,6,6,sábado,23,6,2020-06,Junho,2,Q2,1,T2,True
2020-06-07,20200607,2020,159,7,7,domingo,23,6,2020-06,Junho,2,Q2,1,T2,True
2020-06-08,20200608,2020,160,8,1,segunda-feira,24,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-09,20200609,2020,161,9,2,terça-feira,24,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-10,20200610,2020,162,10,3,quarta-feira,24,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-11,20200611,2020,163,11,4,quinta-feira,24,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-12,20200612,2020,164,12,5,sexta-feira,24,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-13,20200613,2020,165,13,6,sábado,24,6,2020-06,Junho,2,Q2,1,T2,True
2020-06-14,20200614,2020,166,14,7,domingo,24,6,2020-06,Junho,2,Q2,1,T2,True
2020-06-15,20200615,2020,167,15,1,segunda-feira,25,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-16,20200616,2020,168,16,2,terça-feira,25,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-17,20200617,2020,169,17,3,quarta-feira,25,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-18,20200618,2020,170,18,4,quinta-feira,25,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-19,20200619,2020,171,19,5,sexta-feira,25,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-20,20200620,2020,172,20,6,sábado,25,6,2020-06,Junho,2,Q2,1,T2,True
2020-06-21,20200621,2020,173,21,7,domingo,25,6,2020-06,Junho,2,Q2,1,T2,True
2020-06-22,20200622,2020,174,22,1,segunda-feira,26,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-23,20200623,2020,175,23,2,terça-feira,26,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-24,20200624,2020,176,24,3,quarta-feira,26,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-25,20200625,2020,177,25,4,quinta-feira,26,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-26,20200626,2020,178,26,5,sexta-feira,26,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-27,20200627,2020,179,27,6,sábado,26,6,2020-06,Junho,2,Q2,1,T2,True
2020-06-28,20200628,2020,180,28,7,domingo,26,6,2020-06,Junho,2,Q2,1,T2,True
2020-06-29,20200629,2020,181,29,1,segunda-feira,27,6,2020-06,Junho,2,Q2,1,T2,False
2020-06-30,20200630,2020,182,30,2,terça-feira,27,6,2020-06,Junho,2,Q2,1,T2,False
2020-07-01,20200701,2020,183,1,3,quarta-feira,27,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-02,20200702,2020,184,2,4,quinta-feira,27,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-03,20200703,2020,185,3,5,sexta-feira,27,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-04,20200704,2020,186,4,6,sábado,27,7,2020-07,Julho,3,Q3,2,T3,True
2020-07-05,20200705,2020,187,5,7,domingo,27,7,2020-07,Julho,3,Q3,2,T3,True
2020-07-06,20200706,2020,188,6,1,segunda-feira,28,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-07,20200707,2020,189,7,2,terça-feira,28,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-08,20200708,2020,190,8,3,quarta-feira,28,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-09,20200709,2020,191,9,4,quinta-feira,28,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-10,20200710,2020,192,10,5,sexta-feira,28,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-11,20200711,2020,193,11,6,sábado,28,7,2020-07,Julho,3,Q3,2,T3,True
2020-07-12,20200712,2020,194,12,7,domingo,28,7,2020-07,Julho,3,Q3,2,T3,True
2020-07-13,20200713,2020,195,13,1,segunda-feira,29,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-14,20200714,2020,196,14,2,terça-feira,29,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-15,20200715,2020,197,15,3,quarta-feira,29,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-16,20200716,2020,198,16,4,quinta-feira,29,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-17,20200717,2020,199,17,5,sexta-feira,29,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-18,20200718,2020,200,18,6,sábado,29,7,2020-07,Julho,3,Q3,2,T3,True
2020-07-19,20200719,2020,201,19,7,domingo,29,7,2020-07,Julho,3,Q3,2,T3,True
2020-07-20,20200720,2020,202,20,1,segunda-feira,30,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-21,20200721,2020,203,21,2,terça-feira,30,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-22,20200722,2020,204,22,3,quarta-feira,30,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-23,20200723,2020,205,23,4,quinta-feira,30,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-24,20200724,2020,206,24,5,sexta-feira,30,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-25,20200725,2020,207,25,6,sábado,30,7,2020-07,Julho,3,Q3,2,T3,True
2020-07-26,20200726,2020,208,26,7,domingo,30,7,2020-07,Julho,3,Q3,2,T3,True
2020-07-27,20200727,2020,209,27,1,segunda-feira,31,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-28,20200728,2020,210,28,2,terça-feira,31,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-29,20200729,2020,211,29,3,quarta-feira,31,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-30,20200730,2020,212,30,4,quinta-feira,31,7,2020-07,Julho,3,Q3,2,T3,False
2020-07-31,20200731,2020,213,31,5,sexta-feira,31,7,2020-07,Julho,3,Q3,2,T3,False
2020-08-01,20200801,2020,214,1,6,sábado,31,8,2020-08,Agosto,3,Q3,2,T3,True
2020-08-02,20200802,2020,215,2,7,domingo,31,8,2020-08,Agosto,3,Q3,2,T3,True
2020-08-03,20200803,2020,216,3,1,segunda-feira,32,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-04,20200804,2020,217,4,2,terça-feira,32,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-05,20200805,2020,218,5,3,quarta-feira,32,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-06,20200806,2020,219,6,4,quinta-feira,32,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-07,20200807,2020,220,7,5,sexta-feira,32,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-08,20200808,2020,221,8,6,sábado,32,8,2020-08,Agosto,3,Q3,2,T3,True
2020-08-09,20200809,2020,222,9,7,domingo,32,8,2020-08,Agosto,3,Q3,2,T3,True
2020-08-10,20200810,2020,223,10,1,segunda-feira,33,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-11,20200811,2020,224,11,2,terça-feira,33,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-12,20200812,2020,225,12,3,quarta-feira,33,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-13,20200813,2020,226,13,4,quinta-feira,33,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-14,20200814,2020,227,14,5,sexta-feira,33,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-15,20200815,2020,228,15,6,sábado,33,8,2020-08,Agosto,3,Q3,2,T3,True
2020-08-16,20200816,2020,229,16,7,domingo,33,8,2020-08,Agosto,3,Q3,2,T3,True
2020-08-17,20200817,2020,230,17,1,segunda-feira,34,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-18,20200818,2020,231,18,2,terça-feira,34,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-19,20200819,2020,232,19,3,quarta-feira,34,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-20,20200820,2020,233,20,4,quinta-feira,34,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-21,20200821,2020,234,21,5,sexta-feira,34,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-22,20200822,2020,235,22,6,sábado,34,8,2020-08,Agosto,3,Q3,2,T3,True
2020-08-23,20200823,2020,236,23,7,domingo,34,8,2020-08,Agosto,3,Q3,2,T3,True
2020-08-24,20200824,2020,237,24,1,segunda-feira,35,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-25,20200825,2020,238,25,2,terça-feira,35,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-26,20200826,2020,239,26,3,quarta-feira,35,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-27,20200827,2020,240,27,4,quinta-feira,35,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-28,20200828,2020,241,28,5,sexta-feira,35,8,2020-08,Agosto,3,Q3,2,T3,False
2020-08-29,20200829,2020,242,29,6,sábado,35,8,2020-08,Agosto,3,Q3,2,T3,True
2020-08-30,20200830,2020,243,30,7,domingo,35,8,2020-08,Agosto,3,Q3,2,T3,True
2020-08-31,20200831,2020,244,31,1,segunda-feira,36,8,2020-08,Agosto,3,Q3,2,T3,False
2020-09-01,20200901,2020,245,1,2,terça-feira,36,9,2020-09,Setembro,3,Q3,2,T3,False
2020-09-02,20200902,2020,246,2,3,quarta-feira,36,9,2020-09,Setembro,3,Q3,2,T3,False
2020-09-03,20200903,2020,247,3,4,quinta-feira,36,9,2020-09,Setembro,3,Q3,2,T3,False
2020-09-04,20200904,2020,248,4,5,sexta-feira,36,9,2020-09,Setembro,3,Q3,2,T3,False
2020-09-05,20200905,2020,249,5,6,sábado,36,9,2020-09,Setembro,3,Q3,2,T3,True
2020-09-06,20200906,2020,250,6,7,domingo,36,9,2020-09,Setembro,3,Q3,2,T3,True
2020-09-07,20200907,2020,251,7,1,segunda-feira,37,9,2020-09,Setembro,3,Q3,2,T3,False
2020-09-08,20200908,2020,252,8,2,terça-feira,37,9,2020-09,Setembro,3,Q3,2,T3,False
2020-09-09,20200909,2020,253,9,3,quarta-feira,37,9,2020-09,Setembro,3,Q3,2,T3,False
2020-09-10,20200910,2020,254,10,4,quinta-feira,37,9,2020-09,Setembro,3,Q3,2,T3,False
2020-09-11,20200911,2020,255,11,5,sexta-feira,37,9,2020-09,Setembro,3,Q3,2,T3,False
2020-09-12,20200912,2020,256,12,6,sábado,37,9,2020-09,Setembro,3,Q3,2,T3,True
2020-09-13,20200913,2020,257,13,7,domingo,37,9,2020-09,Setembro,3,Q3,2,T3,True
2020-09-14,20200914,2020,258,14,1,segunda-feira,38,9,2020-09,Setembro,3,Q3,2,T3,False
2020-09-15,20200915,2020,259,15,2,terça-feira,38,9,2020-09,Setembro,3,Q3,2,T3,False
2020-09-16,20200916,2020,260,16,3,quarta-feira,38,9,2020-09,Setembro,3,Q3,2,T3,False
2020-09-17,20200917,2020,261,17,4,quinta-feira,38,9,2020-09,Setembro,3,Q3,2,T3,False
2020-09-18,20200918,2020,262,18,5,sexta-feira,38,9,2020-09,Setembro,3,Q3,2,T3,False
2020-09-19,20200919,2020,263,19,6,sábado,38,9,2020-09,Setembro,3,Q3,2,T3,True
